Gene	CCL_A	CCL_B	CCL_C
A1BG	0.2466	0.0596	0.1403
ABCA2	-0.1195	0.0053	0.0832
ABCG2	0.1628	0.0516	0.0672
ABRACL	0.0091	0.0884	0.2391
ACHE	-0.2551	-0.3437	0.088
ACSF2	-0.0934	-0.0986	-0.145
ACTR1B	-0.5472	-0.4446	-0.4166
ADAM23	-0.0776	0.1736	0.1918
ADAP2	-0.4192	-0.1027	-0.2959
ADSSL1	-0.4443	-0.4795	-0.0624
AGL	-0.1182	-0.0063	-0.0466
AHSA1	-0.1135	-0.2741	0.2224
AKAP3	-0.0799	-0.0357	-0.1624
ALDH1A1	0.0073	0.0928	0.1587
ALKBH3	-0.2118	0.0587	-0.0482
AMDHD1	-0.3406	-0.0672	0.1328
ANAPC5	-0.8557	-0.8483	-0.8562
ANKRD10	-0.2675	0.1217	0.0845
ANPEP	-0.1701	-0.0068	0.0572
AP2S1	-0.9995	-0.3425	-0.5131
APITD1	-0.4068	-0.1897	-0.0667
APOL6	0.1459	-0.1172	0.0454
ARF6	-0.4407	-0.3011	-0.5873
ARHGAP33	0.2166	2e-04	-0.0162
ARID1B	-0.3197	-0.1053	-0.0873
ARL8A	0.2159	0.0211	0.0013
ARRDC5	-0.3128	-0.1428	0.0011
ASS1	-0.8182	-0.2721	-0.6132
ATG16L2	0.0744	-0.3358	-0.1467
ATP1A2	0.0828	0.1426	0.1509
ATP6V0A1	-0.1818	-0.264	-0.1389
ATRAID	0.3649	0.0823	0.1126
AZI2	0.1622	0.0336	0.2806
B4GALT6	-0.0054	-0.006	0.0906
BARX1	-0.1361	0.0893	0.0705
BCDIN3D	-0.1333	-0.3179	-0.143
BIRC2	0.0208	-0.1618	0.1671
BMPER	-0.0114	0.0519	0.0639
BPNT1	-0.5882	-0.1146	-0.1661
BSCL2	-0.0399	-0.1456	-0.1293
BTN3A1	0.135	0.1348	0.1261
C10orf62	0.1458	0.0659	0.3023
C11orf84	-0.0025	-0.0181	-0.0445
C14orf166	-0.7089	-0.5597	-0.7531
C16orf59	-0.5414	-0.106	-0.4983
C17orf77	-0.122	-0.1422	-0.0547
C19orf57	0.0405	-0.1142	-0.2267
C1orf105	-0.0534	-0.1483	-0.0958
C1orf233	-0.3734	-0.1079	-0.3801
C21orf140	0.1653	0.0827	0.1489
C2orf54	-0.302	-0.0789	-0.1327
C3orf62	-0.2116	-0.1357	0.1023
C5orf38	-0.3987	-0.0731	0.0288
C6orf47	-0.4911	-0.2206	-0.3266
C8orf48	0.0752	0.0977	0.1896
C9orf78	-0.4199	-0.7422	-0.8333
CACHD1	-0.1965	-0.0318	0.1621
CADPS2	0.1312	0.0904	0.1924
CAMK4	-0.2377	0.008	0.0628
CAPS	-0.5688	-0.1557	-0.013
CASP2	0.112	0.1898	0.2183
CBLN3	0.1402	-0.2352	-0.1721
CCDC105	-0.3395	-0.087	-0.2633
CCDC147	-0.535	-0.0983	-0.1809
CCDC24	0.1724	-0.1767	-0.1376
CCDC69	-0.1742	-0.1923	-0.0963
CCHCR1	0.0831	-0.0274	0.15
CCNB1	-0.6727	-0.6193	-0.6597
CCR7	-0.0204	-0.2372	-0.0563
CD2	0.304	0.0882	0.211
CD44	0.0069	-0.1592	0.1121
CDAN1	-1.0463	-1.0979	-1.0884
CDCA4	-0.0303	-0.0571	-0.0286
CDIP1	0.2789	0.0409	0.1458
CDKN1C	-0.2623	0.1744	-0.03
CEACAM8	-0.3546	-0.1663	-0.1466
CENPJ	-0.4512	-0.1693	-0.6335
CEP70	-0.0062	-0.0153	0.306
CFC1	-0.1074	-0.0736	-0.1376
CHCHD2	-0.6295	-0.1995	-0.3726
CHMP2A	-0.9722	-1.237	-0.932
CHRNA9	-0.5846	-0.0863	-0.2652
CIB4	0.0168	-0.2623	-0.4746
CLCA2	-0.059	0.133	0.2151
CLEC10A	0.2172	0.1344	0.0907
CLIC5	-0.0218	-0.0013	0.0905
CLSTN2	-0.0952	0.0662	0.1713
CNBD2	-0.1754	0.0327	-0.156
CNPPD1	0.3858	0.0839	0.2563
COBL	0.3604	0.1134	-0.0088
COL4A1	-0.297	0.0927	0.0709
COMP	0.3026	-0.0543	0.0339
CORT	-0.044	0.0384	-0.0668
CPB1	-0.3848	-0.0669	-0.1216
CPSF4L	-0.159	0.0173	-0.0214
CREBBP	-0.022	-0.1687	-0.1164
CRTAC1	-0.3687	-0.2651	-0.1095
CSF2RB	-0.1353	-0.1571	-0.0545
CSRP3	0.4344	0.1919	0.1077
CTDSPL2	-0.25	-0.2439	-0.2371
CTSV	-0.0762	-0.0968	-0.1231
CXCL1	-0.3147	-0.2755	-0.2695
CYBA	0.1646	-0.116	0.1101
CYP2E1	-0.122	-0.086	-0.3024
CYTH3	-0.1823	-0.1561	-0.3236
DAZAP1	-0.1693	-0.2229	-0.1519
DCDC2B	-0.3817	-0.0933	-0.0292
DDB1	-1.7006	-1.3638	-1.4342
DDX4	-0.077	0.1439	0.0111
DEFB106A	0.2554	0.1902	0.2
DENND2D	0.1523	-0.0537	-0.0297
DGCR6L	-0.3301	-0.0736	-0.2444
DHX16	-0.7711	-0.7249	-0.7379
DIS3L2	0.2047	0.0383	0.1015
DLX6	0.1954	-0.0304	0.043
DNAI1	-0.0152	-0.0043	-0.1975
DNAJC28	0.2103	0.081	0.101
DNTTIP1	0.2636	0.0556	-0.0835
DPH1	-0.7423	-0.5912	-0.6263
DRAM2	0.0532	-0.2592	-0.161
DTD2	-0.3334	-0.2177	-0.1811
DUSP23	0.3245	0.0291	0.0632
DYRK3	0.1972	-0.0039	0.1392
ECEL1	-0.1559	-0.1329	-0.153
EEF1D	-0.2551	-0.0436	-0.2352
EFTUD1	-0.7379	-0.9933	-0.6951
EIF2AK4	-0.1754	-0.951	-0.4638
EIF4G1	-0.5064	-0.7158	-0.8463
ELN	0.4109	-0.1414	0.1783
EML3	-0.0808	-0.0187	-0.1901
ENPP3	-0.1309	-0.0424	0.1064
EPGN	0.4355	0.094	0.2069
EPT1	-0.351	-0.0633	0.0745
ERICH6B	0.117	0.1215	0.2342
ESRRB	-0.2752	-0.0907	-0.1552
