Gene	CCL_A	CCL_B	CCL_C
A1BG	0	2.064	3.8537
A1BG-AS1	0.1517	1.4525	3.2057
A1CF	2.3626	0	0
A2M	0	0.0157	3.5351
A2M-AS1	0.0968	0.1651	0.2071
A2ML1	0	1.5113	0
A2ML1-AS1	0	0	0
A2ML1-AS2	0	0	0
A2MP1	0	0	0.0107
A3GALT2	0	0	0
A4GALT	1.6345	5.3527	3.0213
A4GNT	0	0	0
AAAS	5.4758	5.3457	6.5134
AACS	4.3504	4.5817	5.3151
AACSP1	0.182	0.322	2.5516
AADAC	0	0.0459	0
AADACL2	0	0.1841	0
AADACL3	0	0	0
AADACL4	0	0	0
AADAT	0.0258	1.58	4.4894
AAED1	2.5683	2.6812	2.2925
AAGAB	6.0766	5.5662	5.5228
AAK1	2.5447	3.0424	2.9964
AAMDC	1.0937	3.6378	0.9589
AAMP	6.3433	6.4424	6.894
AANAT	0.1183	0.0949	0
AAR2	5.1691	4.9389	5.5371
AARD	0	0	2.165
AARS	8.7676	6.6555	7.812
AARS2	3.5243	3.1137	4.2466
AARSD1	5.5191	5.4223	5.9399
AASDH	3.1379	2.8018	3.1967
AASDHPPT	5.8086	4.7328	6.0154
AASS	1.7385	1.0946	3.9944
AATF	5.9298	6.0647	6.9037
AATK	3.6111	0.4155	1.3791
AATK-AS1	0	0	0
AB015752.3	0	0	0
AB019438.66	0	0	0
AB019440.1	0	0	0
AB019440.50	0	0	0
AB019441.29	0.2409	0.3763	0.3742
ABAT	0.5875	2.4334	2.9101
ABC12-47043100G14.2	0	0	0
ABC7-42389800N19.1	3.1929	3.4804	3.3821
ABC7-43041300I9.1	0	0	0.7193
ABCA1	0.1296	3.151	2.5998
ABCA10	0.0612	0.9601	2.8563
ABCA11P	3.4389	2.3424	2.7756
ABCA12	4.4417	1.3883	0.0193
ABCA13	0	1.6768	0.0579
ABCA17P	0	0.1309	0.0105
ABCA2	5.879	4.1554	4.1391
ABCA3	2.1793	1.4062	0.0969
ABCA4	0	0.1491	0
ABCA5	2.5507	3.4611	1.7257
ABCA6	0	0	0.7094
ABCA7	5.0594	4.5162	1.6895
ABCA8	0	0	1.6003
ABCA9	0	0.0248	0
ABCA9-AS1	0	1.4188	0
ABCB1	0.0598	0	1.4089
ABCB10	4.3016	2.9618	4.265
ABCB10P1	0	0	0
ABCB10P3	0	0	0
ABCB10P4	0	0	0
ABCB11	0.1103	0	0
ABCB4	0.0142	0	1.0272
ABCB5	0.068	0.0894	0
ABCB6	5.3357	5.39	4.4252
ABCB7	5.2379	4.6478	4.2626
ABCB8	5.0884	3.9481	4.9923
ABCB9	1.7514	2.3883	3.9823
ABCC1	4.0398	5.4741	4.3821
ABCC10	4.3959	3.1078	3.5802
ABCC11	0.2131	0.1558	0.1574
ABCC12	0	0	0
ABCC13	0	0	0
ABCC2	6.1508	0.6874	4.1467
ABCC3	7.5356	3.1153	2.1705
ABCC4	4.2081	3.2426	4.079
ABCC5	4.3148	6.027	4.4482
ABCC5-AS1	0	0	0
ABCC6	0.039	0.0523	0.0077
