Probe	CCL_A	CCL_B	CCL_C
cg00000292	0.4204	0.9052	0.8254
cg00003994	0.128	0.9453	0.0422
cg00005847	0.2897	0.9558	0.8501
cg00007981	0.0321	0.0319	0.0545
cg00008493	0.9255	0.8967	0.9168
cg00008713	0.0795	0.057	0.0921
cg00009407	0.0418	0.0362	0.0625
cg00011459	0.9316	0.9308	0.8957
cg00012199	0.048	0.0339	0.0598
cg00012386	0.0437	0.052	0.0542
cg00012792	0.0778	0.0734	0.097
cg00013618	0.431	0.8986	0.7893
cg00014085	0.0347	0.0374	0.0555
cg00015770	0.6249	0.0489	0.3749
cg00016968	0.4484	0.3526	0.5127
cg00019495	0.1406	0.8147	0.2498
cg00020533	0.2336	0.9339	0.6273
cg00021527	0.0502	0.0458	0.044
cg00022866	0.4314	0.8444	0.7356
cg00024396	0.8633	0.0809	0.0706
cg00024812	0.0388	0.0325	0.034
cg00025138	0	0.0046	0.0103
cg00025991	0.6215	0.8343	0.788
cg00027083	0.9881	0.9944	0.2959
cg00029826	0.0618	0.0719	0.0353
cg00029931	0.031	0.0292	0.0264
cg00030047	0.8843	0.9065	0.2828
cg00031162	0.6995	0.937	0.8096
cg00032227	0.0056	0.0318	0.0105
cg00033516	0.0448	0.0374	0.0617
cg00033773	0.5219	0.8375	0.6431
cg00034039	0.0837	0.0841	0.1121
cg00035623	0.0394	0.0355	0.0359
cg00037763	0.1617	0.9346	0.8432
cg00037940	0.8196	0.9436	0.8799
cg00040861	0.0398	0.0425	0.0512
cg00040873	0.0522	0.6233	0.3051
cg00043004	0.1088	0.5674	0.4029
cg00044245	0.8945	0.9368	0.3646
cg00047050	0.0886	0.1087	0.0815
cg00047469	0.0874	0.0943	0.1444
cg00050312	0.0841	0.0685	0.1112
cg00051979	0.077	0.0683	0.0896
cg00053292	0.0608	0.0903	0.0707
cg00053647	0.0386	0.0443	0.0637
cg00054706	0.0483	0.032	0.0461
cg00055233	0.5733	0.5123	0.8588
cg00056767	0.0769	0.0691	0.1071
cg00059225	0.537	0.5353	0.4877
cg00059424	0.0352	0.0376	0.0291
cg00059740	0.0564	0.048	0.0947
cg00059930	0.7116	0.8928	0.8736
cg00060762	0.0407	0.0279	0.035
cg00060882	0.1739	0.1088	0.1842
cg00061059	0	0.0628	0.0377
cg00061629	0.0316	0.8954	0.6541
cg00062776	0.7786	0.9467	0.928
cg00063144	0.889	0.9103	0.8855
cg00065385	0.8492	0.9375	0.9284
cg00065408	0.0757	0.07	0.0894
cg00066153	0.8989	0.9614	0.9167
cg00066816	0.5939	0.1767	0.8891
cg00067471	0.0392	0.2866	0.0742
cg00069261	0.4193	0.3231	0.1727
cg00071250	0.3945	0.9016	0.7096
cg00071998	0.0606	0.0686	0.0884
cg00072216	0.0077	0.0113	0.0162
cg00075967	0.6346	0.1024	0.73
cg00076645	0.1287	0.0851	0.044
cg00077877	0.0866	0.7834	0.8405
cg00078194	0.0799	0.071	0.0888
cg00078867	0.2021	0.8857	0.654
cg00079563	0.0098	0.0137	0.8087
cg00080012	0.0422	0.0291	0.0379
cg00081935	0.5455	0.2555	0.0892
