CCLE_name	Chromosome	Start	End	Num_Probes	Segment_Mean
CCL_B	1	61735	229116	20	-1.0955
CCL_B	1	229117	229648	3	2.43
CCL_B	1	229649	549586	8	0.5329
CCL_B	1	549587	4378022	1321	-0.3401
CCL_B	1	4378023	4380767	8	-0.9609
CCL_B	1	4380768	12901242	5183	-0.4209
CCL_B	1	12901243	12927481	7	-2.4269
CCL_B	1	12927482	13294896	9	-0.4303
CCL_B	1	13294897	13380607	8	-1.4741
CCL_B	1	13380608	16354597	1927	-0.3822
CCL_B	1	16354598	16384491	7	0.6451
CCL_B	1	16384492	17594151	610	-0.3261
CCL_B	1	17594152	17621331	22	0.6821
CCL_B	1	17621332	25588234	5002	-0.3993
CCL_B	1	25588235	25654243	28	-2.0949
CCL_B	1	25654244	26635962	442	-0.4287
CCL_B	1	26635963	26724962	60	-0.0439
CCL_B	1	26724963	34233651	3785	-0.4153
CCL_B	1	34233652	40783150	3758	0.0605
CCL_B	1	40783151	40791628	4	1.3483
CCL_B	1	40791629	72765894	20783	0.112
CCL_B	1	72765895	72811140	47	-1.5385
CCL_B	1	72811141	80034903	4522	0.0967
CCL_B	1	80034904	80039925	2	1.7802
CCL_B	1	80039926	90407962	7030	0.1255
CCL_B	1	90407963	90431092	10	0.7901
CCL_B	1	90431093	95134199	2898	0.1435
CCL_B	1	95134200	95135131	4	1.4858
CCL_B	1	95135132	104161441	5613	0.1248
CCL_B	1	104161442	104259738	23	-0.4577
CCL_B	1	104259739	106016290	922	0.0927
CCL_B	1	106016291	106023215	17	1.2901
CCL_B	1	106023216	110213164	2650	0.12
CCL_B	1	110213165	110230244	20	-0.4631
CCL_B	1	110230245	110241565	17	-1.8634
CCL_B	1	110241566	111379161	847	0.0875
CCL_B	1	111379162	111392682	32	0.4958
CCL_B	1	111392683	148513797	7414	0.1056
CCL_B	1	148513798	149110708	96	-0.2218
CCL_B	1	149110709	152756656	1819	0.0932
CCL_B	1	152756657	152771302	41	0.6803
CCL_B	1	152771303	161446129	5237	0.0848
CCL_B	1	161446130	169225455	6088	-0.2624
CCL_B	1	169225456	169242083	7	-2.6928
CCL_B	1	169242084	196721361	18183	-0.2546
CCL_B	1	196721362	196814160	93	0.9599
CCL_B	1	196814161	233525945	24740	-0.2478
CCL_B	1	233525946	233528621	3	0.8075
